transaction_type,district_name,category_group,listings,median_price_m,median_area,median_price_per_m2
Bán,Thành phố Thủ Đức,Phòng / nhà trọ,6,13350,106,88867788.02676795
Cho thuê,Quận 8,Khác,6,38.875,490,79500
Cho thuê,Quận Bình Tân,Kho xưởng,6,30,225,138091.48264984228
Cho thuê,Quận Tân Phú,Đất nền,6,55,735,105000
Bán,Quận 1,Văn phòng / mặt bằng,5,34000,70,463414634.14634144
Bán,Quận 3,Phòng / nhà trọ,5,95000,130,791666666.6666666
Bán,Quận Gò Vấp,Biệt thự,5,19000,210,105000000
Bán,Quận Phú Nhuận,Biệt thự,5,36000,174,206896551.72413793
Cho thuê,Huyện Bình Chánh,Căn hộ / chung cư,5,7,50,140000
Cho thuê,Huyện Nhà Bè,Căn hộ / chung cư,5,10,71,165384.61538461538
Cho thuê,Huyện Nhà Bè,Nhà phố / nhà ở,5,25,42,194444.44444444444
Cho thuê,Quận Bình Thạnh,Đất nền,5,95,390,240000
Bán,Huyện Củ Chi,Phòng / nhà trọ,4,890,196,4830043.859649123
Bán,Huyện Hóc Môn,Đất nền,4,9200,211.75,39241565.45209177
Bán,Quận 10,Phòng / nhà trọ,4,33250,125,205619360.13125512
Bán,Quận Bình Thạnh,Phòng / nhà trọ,4,23950,135.5,224595687.33153638
Bán,Quận Bình Tân,Phòng / nhà trọ,4,28250,230,111717022.84450996
Bán,Quận Phú Nhuận,Phòng / nhà trọ,4,13525,80,157092964.18592837
Bán,Quận Tân Phú,Đất nền,4,42000,361.5,104051356.35849506
Cho thuê,Huyện Hóc Môn,Nhà phố / nhà ở,4,10.5,120,61912.75167785235
Cho thuê,Quận 11,Biệt thự,4,24,80.5,226071.42857142858
Bán,Huyện Cần Giờ,Căn hộ / chung cư,3,1980,33,60000000
Bán,Huyện Củ Chi,Khác,3,610,150,4066666.6666666665
Bán,Quận 10,Biệt thự,3,45000,182,247252747.25274727
Bán,Quận 12,Phòng / nhà trọ,3,2000,56,39215686.2745098
Bán,Quận Bình Tân,Kho xưởng,3,7350,98.2,89634146.34146342
Bán,Quận Tân Phú,Phòng / nhà trọ,3,10900,98,121019108.28025478
Cho thuê,Huyện Bình Chánh,Biệt thự,3,55,250,200000
Cho thuê,Huyện Củ Chi,Khác,3,450,4118,110000
Cho thuê,Huyện Hóc Môn,Khác,3,59.999,1400,42856.42857142857
Cho thuê,Quận 1,Đất nền,3,330,240,1113636.3636363635
Cho thuê,Quận Bình Thạnh,Kho xưởng,3,19,88,190000
Cho thuê,Quận Bình Tân,Văn phòng / mặt bằng,3,21,50,413793.1034482759
Cho thuê,Quận Tân Phú,Kho xưởng,3,3.5,30,116666.66666666667
Cho thuê,Thành phố Thủ Đức,Đất,3,55,160,343750
Bán,Huyện Bình Chánh,Kho xưởng,2,7500,169,48474140.700289115
Bán,Huyện Cần Giờ,Khác,2,86000,706,121869983.94863564
Bán,Huyện Cần Giờ,Đất nền,2,14545,1126.5,15010772.214285305
Bán,Quận 1,Kho xưởng,2,12900,75,196818181.8181818
Bán,Quận 11,Biệt thự,2,88000,328.5,267884943.28712285
Bán,Quận 3,Văn phòng / mặt bằng,2,137000,275,440555555.5555556
Bán,Quận 4,Đất,2,3975,57.84995,82109220.41705687
Bán,Quận 5,Đất nền,2,14750,87.5,162719824.14068747
Bán,Quận 6,Kho xưởng,2,67750,202.2,326548302.24772835
Bán,Quận 8,Phòng / nhà trọ,2,15400,108,141855598.18625742
Bán,Quận Bình Tân,Khách sạn,2,24500,161,156702898.55072463
Bán,Quận Phú Nhuận,Văn phòng / mặt bằng,2,17745,59,281745169.0821256
Bán,Quận Tân Phú,Văn phòng / mặt bằng,2,24750,135,205000000
Bán,Thành phố Thủ Đức,Văn phòng / mặt bằng,2,111000,976.5,82580037.66478342
Cho thuê,Huyện Củ Chi,Nhà phố / nhà ở,2,656.285,2125.5,3211635.338345865
Cho thuê,Huyện Củ Chi,Đất nền,2,1100,123,8998347.107438017
Cho thuê,Quận 12,Đất,2,112.5,2975,39022.988505747126
Cho thuê,Quận Bình Tân,Đất nền,2,32.5,1057.5,63888.88888888889
Cho thuê,Quận Tân Bình,Kho xưởng,2,32,201,281565.6565656566
Cho thuê,Quận Tân Bình,Đất nền,2,167.5,1203.5,122921.73067574138
Cho thuê,TP Vũng Tàu cũ,Căn hộ / chung cư,2,7.25,66.5,112505.97800095649
Cho thuê,Thành phố Thủ Đức,Kho xưởng,2,56,343,174784.11053540587
Bán,Huyện Bình Chánh,Biệt thự,1,15500,176,88068181.81818181
Bán,Huyện Củ Chi,Biệt thự,1,14000,2553,5483744.614179397
Bán,Huyện Củ Chi,Căn hộ / chung cư,1,5400,97,55670103.0927835
Bán,Huyện Củ Chi,Văn phòng / mặt bằng,1,1200,144,8333333.333333333
Bán,Huyện Hóc Môn,Biệt thự,1,13500,600,22500000
Bán,Huyện Hóc Môn,Khác,1,14800,230,64347826.08695652
Bán,Huyện Hóc Môn,Văn phòng / mặt bằng,1,5700,140,40714285.71428572
Bán,Quận 10,Kho xưởng,1,9400,32.3,291021671.8266254
Bán,Quận 10,Văn phòng / mặt bằng,1,24000,62,387096774.1935484
Bán,Quận 11,Đất nền,1,3315,48,69062500
Bán,Quận 12,Văn phòng / mặt bằng,1,6600,99,66666666.666666664
Bán,Quận 3,Kho xưởng,1,117000,150.7,776376907.7637691
Bán,Quận 4,Đất nền,1,1790,26,68846153.84615384
Bán,Quận 5,Biệt thự,1,18900,83,227710843.37349397
Bán,Quận 6,Biệt thự,1,300000,1200,250000000
Bán,Quận 6,Phòng / nhà trọ,1,28000,112,250000000
Bán,Quận 7,Biệt thự,1,58000,240,241666666.66666666
Bán,Quận 7,Kho xưởng,1,2350,17,138235294.11764705
Bán,Quận 8,Đất nền,1,5400,54,100000000
Bán,Quận Bình Tân,Văn phòng / mặt bằng,1,8500,88,96590909.0909091
Bán,Quận Tân Bình,Kho xưởng,1,15800,60,263333333.33333334
