segment,model_exclusion_reason,source,title,price,area,price_per_m2,district_name,category_name,model_category
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Bán gấp dãy trọ 7p đang kinh doanh dt151m2 giá 1 tỷ 050 SHR,1050000000,151,6953642.38410596,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Nhà c4 đường số 36 Tân Thông Hội dt 102m2 giá 850 triệu Sổ Hồng Riêng,850000000,102,8333333.333333333,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Bán nhà cấp 4 Ấp Tiền Tân Phú Trung 103m2 sổ hồng riêng giá 780 triệu,780000000,103,7572815.533980583,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán khu trọ 5 phòng 132.8m2 chỉ 830tr, gần KCN Tân Phú Trung, Củ Chi",830000000,130,6384615.384615385,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán gấp căn nhà ở 1/ Đ. Phan Thị Cộng ( Củ Chi ) 112,3m2 SHR giá 800tr",800000000,112.3,7123775.601068567,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Ngộp! Bán gấp nhà C4 Ấp Chợ Tân Phú Trung 141m2 SHR giá 950 triệu,950000000,141,6737588.652482269,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"BÁN GẤP NHÀ VƯỜN VIEW ĐẸP - MẶT TIỀN ĐƯỜNG BẾN SÚC, CỦ CHI Cơ hội",9000000000,1073.2,8386134.923592992,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,Cần bán chung cư lê thành tân tạo,870000000,36,24166666.666666668,Quận Bình Tân,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,"Bán đất 2 mặt tiền trước sau 2 xẹt kênh Trung ương, vĩnh lộc b",350000000,52,6730769.230769231,Huyện Bình Chánh,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán 3.000m2 đất, đường xe hơi, xã Tân Nhựt, Bình Chánh",2100000000,3000,700000,Huyện Bình Chánh,Đất,Đất/đất nền
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,SELL 2BR - FULLY FURNISH - 82M2 - TẦNG CAO - THOÁNG,32000000000,82,390243902.4390244,Quận 1,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,Cần bán nhanh 1 căn chung cư mini,890000000,30,29666666.666666668,Quận Tân Bình,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,CẦN BÁN NHÀ CẤP4 ĐƯỜNG NGUYỄN THỊ LẮNG TÂN PHÚ TRUNG CỦ CHI 155M2 1TỶ1,1100000000,155.5,7073954.98392283,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
