segment,best_model,actual_price,predicted_price,abs_error_vnd,ape,source,district_name,category_name,model_category,ward,area,rooms,price_per_m2
sale,Tuned RF/XGBoost Ensemble,4899999999.999995,6526466371.975331,1626466371.975336,0.33193191264802807,chotot,Quận 8,Đất,Đất/đất nền,Phường 7,110,4,44545454.54545455
sale,Tuned RF/XGBoost Ensemble,4999999999.999992,6649430430.6844225,1649430430.6844301,0.3298860861368865,chotot,Quận 8,Đất,Đất/đất nền,Phường 7,120,4,41666666.666666664
sale,Tuned RF/XGBoost Ensemble,3150000000.0000005,3734049883.86702,584049883.8670197,0.18541266154508557,chotot,Quận 8,Đất,Đất/đất nền,Phường 7,40,4,78750000
sale,Tuned RF/XGBoost Ensemble,9979999999.999985,13612647009.80271,3632647009.802725,0.363992686352979,chotot,Quận 8,Đất,Đất/đất nền,Phường 7,240,4,41583333.333333336
sale,Tuned RF/XGBoost Ensemble,4499999999.999999,3960314798.393444,539685201.606555,0.11993004480145669,chotot,Quận 8,Đất,Căn hộ,Phường 16,45,4,100000000
sale,Tuned RF/XGBoost Ensemble,4899999999.999995,5322700637.625114,422700637.6251192,0.08626543625002442,chotot,Thành phố Thủ Đức,Nhà ở,Nhà phố/nhà ở,Phường Phước Long B (Quận 9 cũ),58,3,84482758.62068966
sale,Tuned RF/XGBoost Ensemble,4599000000,5047806448.969736,448806448.9697361,0.0975878340877878,chotot,Thành phố Thủ Đức,Nhà ở,Nhà phố/nhà ở,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),40,4,114975000
sale,Tuned RF/XGBoost Ensemble,3580000000.000005,3901775337.6889124,321775337.6889076,0.0898813792427115,chotot,Thành phố Thủ Đức,Nhà ở,Nhà phố/nhà ở,Phường Long Phước (Quận 9 cũ),52,2,68846153.84615384
sale,Tuned RF/XGBoost Ensemble,4590000000.000008,5081906001.438556,491906001.4385481,0.10716906349423688,chotot,Thành phố Thủ Đức,Nhà ở,Nhà phố/nhà ở,Phường Long Trường (Quận 9 cũ),55,4,83454545.45454545
sale,Tuned RF/XGBoost Ensemble,3500000000.000005,5654439168.636513,2154439168.636508,0.6155540481818585,chotot,Thành phố Thủ Đức,Nhà ở,Nhà phố/nhà ở,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),60,4,58333333.333333336
sale,Tuned RF/XGBoost Ensemble,4999999999.999992,6035490593.8886385,1035490593.8886461,0.20709811877772955,chotot,Quận Tân Phú,Nhà ở,Nhà phố/nhà ở,Phường Tân Thới Hòa,55,3,90909090.9090909
sale,Tuned RF/XGBoost Ensemble,6400000000.000004,8217520861.747355,1817520861.7473516,0.2839876346480235,chotot,Quận Tân Phú,Nhà ở,Nhà phố/nhà ở,Phường Tây Thạnh,62,5,103225806.4516129
