transaction_type,district_name,category_name,median_price_per_m2,median_area,listing_count,cluster
Cho thuê,Quận Phú Nhuận,Bất động sản khác,158333.3333333333,55,22,4
Cho thuê,Quận Phú Nhuận,Biệt thự,283482.14285714284,152.5,46,4
Cho thuê,Quận Phú Nhuận,Căn hộ,214285.7142857143,45,140,4
Cho thuê,Quận Phú Nhuận,Căn hộ/Chung cư,172043.01075268816,65,5,4
Cho thuê,Quận Phú Nhuận,Nhà đất cho thuê,555555.5555555555,72,9,4
Cho thuê,Quận Phú Nhuận,Nhà phố,333333.3333333333,99,348,1
Cho thuê,Quận Phú Nhuận,Phòng/Cho thuê,250000,100,259,4
Cho thuê,Quận Phú Nhuận,"Văn phòng, Mặt bằng kinh doanh",1100000,150,4,2
Cho thuê,Quận Phú Nhuận,Văn phòng/Mặt bằng,533333.3333333334,90,3,4
Cho thuê,Quận Tân Bình,Bất động sản khác,130000,45,37,4
Cho thuê,Quận Tân Bình,Biệt thự,250000,200,46,4
Cho thuê,Quận Tân Bình,Căn hộ,163095.2380952381,41,280,4
Cho thuê,Quận Tân Bình,Căn hộ/Chung cư,133333.33333333334,75,3,4
Cho thuê,Quận Tân Bình,Đất nền,122921.73067574138,1203.5,2,4
Cho thuê,Quận Tân Bình,Kho xưởng,281565.6565656566,201,2,4
Cho thuê,Quận Tân Bình,Nhà đất cho thuê,450000,133,5,4
Cho thuê,Quận Tân Bình,Nhà phố,300000,105,324,1
Cho thuê,Quận Tân Bình,Phòng trọ,128000,25,3,4
Cho thuê,Quận Tân Bình,Phòng/Cho thuê,170821.42857142858,70,594,1
Cho thuê,Quận Tân Bình,"Văn phòng, Mặt bằng kinh doanh",732954.5454545454,87.5,16,2
Cho thuê,Quận Tân Bình,Văn phòng/Mặt bằng,266666.6666666667,48,7,4
Cho thuê,Quận Tân Phú,Bất động sản khác,120000,73,51,4
Cho thuê,Quận Tân Phú,Biệt thự,216666.6666666667,185,14,4
Cho thuê,Quận Tân Phú,Căn hộ,140000,67,129,4
Cho thuê,Quận Tân Phú,Căn hộ/Chung cư,120000,65,3,4
Cho thuê,Quận Tân Phú,Đất nền,105000,735,6,4
Cho thuê,Quận Tân Phú,Kho xưởng,116666.66666666669,30,3,4
Cho thuê,Quận Tân Phú,Nhà đất cho thuê,254545.45454545456,72,3,4
Cho thuê,Quận Tân Phú,Nhà phố,250000,90,129,4
Cho thuê,Quận Tân Phú,Phòng trọ,183333.3333333333,22,4,4
Cho thuê,Quận Tân Phú,Phòng/Cho thuê,133333.33333333334,30,263,4
Cho thuê,Quận Tân Phú,"Văn phòng, Mặt bằng kinh doanh",1351351.3513513512,140,21,2
Cho thuê,Quận Tân Phú,Văn phòng/Mặt bằng,170471.01449275366,150,6,4
Cho thuê,Thành phố Thủ Đức,Bất động sản khác,145454.54545454544,90,57,4
Cho thuê,Thành phố Thủ Đức,Biệt thự,240000,300,753,1
Cho thuê,Thành phố Thủ Đức,Căn hộ,166666.66666666666,50,205,4
Cho thuê,Thành phố Thủ Đức,Căn hộ/Chung cư,140468.75,64,3,4
Cho thuê,Thành phố Thủ Đức,Đất,343750,160,3,4
Cho thuê,Thành phố Thủ Đức,Đất nền,103030.30303030304,575,20,4
Cho thuê,Thành phố Thủ Đức,Kho xưởng,174784.11053540587,343,2,4
Cho thuê,Thành phố Thủ Đức,Nhà đất cho thuê,245270.27027027027,87,2,4
Cho thuê,Thành phố Thủ Đức,Nhà phố,333333.3333333333,100,254,4
Cho thuê,Thành phố Thủ Đức,Phòng trọ,161666.66666666666,11.3,4,4
Cho thuê,Thành phố Thủ Đức,Phòng/Cho thuê,200000,160,1404,1
Cho thuê,Thành phố Thủ Đức,"Văn phòng, Mặt bằng kinh doanh",263578.947368421,164,28,4
Cho thuê,Thành phố Thủ Đức,Văn phòng/Mặt bằng,650000,90,3,4
Cho thuê,TP Vũng Tàu cũ,Căn hộ/Chung cư,112505.9780009565,66.5,2,4
