tieu_de,gia_raw,dien_tich_raw,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,dia_chi,ngay_dang,phap_ly,id_nguon,lat,lon
Khuôn Đất Vàng Xây Tòa Trung Tâm Quận 1 Tốt Nhất Phân Khúc 100 Tỷ,115 tỷ,277 m2,Quận 1,Đất nền,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/khuon-dat-vang-xay-toa-trung-tam-quan-1-tot-nhat-phan-khuc-100-ty-id22710196,mogi.vn,1 PN,"Trần Quang Khải, Phường Tân Định, Quận 1, TPHCM",01/06/2026,Sổ hồng,22710196,10.79138,106.68898289999993
Duy Nhất Còn Lại Trên Đường Lê Văn Sỹ Q.3 Nhà 5 Tầng DT 5.25x16 Hẻm 6m,17 tỷ 500 triệu,80 m2,Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-hem-ngo/duy-nhat-con-lai-tren-duong-le-van-sy-q-3-nha-5-tang-dt-5-25x16-hem-6m-id22712843,mogi.vn,7 PN,"Lê Văn Sỹ, Phường 13, Quận 3, TPHCM",01/06/2026,Sổ hồng,22712843,10.78641844,106.67844009500004
Khuôn Đất Rất Hiếm 16.5x16 Căn Góc Mặt Tiền Trần Quang Khải Quận 1,120 tỷ,250 m2,Quận 1,Đất nền,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/khuon-dat-rat-hiem-16-5x16-can-goc-mat-tien-tran-quang-khai-quan-1-id22559195,mogi.vn,2 PN,"Trần Quang Khải, Phường Tân Định, Quận 1, TPHCM",01/06/2026,Sổ hồng,22559195,10.79138,106.68898289999993
Bán Tòa Nhà 5 Tầng DT 12x16 Đường Lý Thường Kiệt Quận 10,57 tỷ,200 m2,Quận 10,Nhà phố,ban,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-toa-nha-5-tang-dt-12x16-duong-ly-thuong-kiet-quan-10-id22579784,mogi.vn,10 PN,"Lý Thường Kiệt, Phường 14, Quận 10, TPHCM",01/06/2026,Sổ hồng,22579784,10.772981165000001,106.66160202000003
Tốt Nhất Thị Trường Nhà 3 Tầng MT Bàu Cát Đôi Q.Tân Bình DT 8x19,50 tỷ,150 m2,Quận Tân Bình,Nhà phố,ban,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/tot-nhat-thi-truong-nha-3-tang-mt-bau-cat-doi-q-tan-binh-dt-8x19-id22687162,mogi.vn,3 PN,"Bàu Cát, Phường 14, Quận Tân Bình, TPHCM",01/06/2026,Sổ hồng,22687162,10.793849465000001,106.64130401500006
Vị Trí Vàng - Giá Tốt - Sản Phẩm Hiếm - Mặt Tiền Trần Nhân Tôn Q.10,19 tỷ,70 m2,Quận 10,Bất động sản khác,ban,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/vi-tri-vang-gia-tot-san-pham-hiem-mat-tien-tran-nhan-ton-q-10-id22702260,mogi.vn,2 PN,"Trần Nhân Tôn, Phường 2, Quận 10, TPHCM",01/06/2026,Sổ hồng,22702260,10.76422834,106.67435836999994
Căn Nhà Dành Cho Giới Tinh Hoa - Khu Nội Bộ VIP Hai Bà Trưng DT 15x15,89 tỷ,225 m2,Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-hem-ngo/can-nha-danh-cho-gioi-tinh-hoa-khu-noi-bo-vip-hai-ba-trung-dt-15x15-id22705300,mogi.vn,6 PN,"Hai Bà Trưng, Phường 6 (Phường Võ Thị Sáu), Quận 3, TPHCM",01/06/2026,Sổ hồng,22705300,10.780748365000001,106.69166183499999
Sản Phẩm Hiếm Biệt Thự Mini Siêu Đẹp Đường Thành Thái Quận 10,26 tỷ,100 m2,Quận 10,Nhà phố,ban,https://mogi.vn/quan-10/mua-nha-hem-ngo/san-pham-hiem-biet-thu-mini-sieu-dep-duong-thanh-thai-quan-10-id22557396,mogi.vn,4 PN,"Thành Thái, Phường 14, Quận 10, TPHCM",01/06/2026,Sổ hồng,22557396,10.772981165000001,106.66160202000003
Bán Biệt Thự Góc 2 Mặt Tiền Khu Nội Bộ VIP Đường Trần Quốc Toản Q.3,35 tỷ,140 m2,Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-duong-noi-bo/ban-biet-thu-goc-2-mat-tien-khu-noi-bo-vip-duong-tran-quoc-toan-q-3-id22554623,mogi.vn,4 PN,"Trần Quốc Toản, Phường 7 (Phường Võ Thị Sáu), Quận 3, TPHCM",01/06/2026,Sổ hồng,22554623,10.78373337,106.68658446999996
Bán Nhà 5 Tầng Mặt Tiền Lê Văn Sỹ Đoạn Đẹp Kinh Doanh Thời Trang,29 tỷ,100 m2,Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-5-tang-mat-tien-le-van-sy-doan-dep-kinh-doanh-thoi-trang-id22553792,mogi.vn,5 PN,"Lê Văn Sỹ, Phường 12, Quận 3, TPHCM",01/06/2026,Sổ hồng,22553792,10.78796482,106.6736450200001
