tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
"Cho thuê căn 2p ngủ Chung cư Nhiêu Tứ, giá 8,5tr/th",8 triệu 500 nghìn,65 m2,"Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Căn hộ,thue,https://mogi.vn/quan-phu-nhuan/thue-can-ho-chung-cu/cho-thue-can-2p-ngu-chung-cu-nhieu-tu-gia-8-5tr-th-id22743029,mogi.vn,2,8000000,65,2026-06-19,,22743029,,
"Cho thuê C/c Ruby Garden căn 87m2, 2p ngủ, nội thất, 10tr/th",10 triệu,87 m2,"Quận Tân Bình, TPHCM",Quận Tân Bình,Căn hộ,thue,https://mogi.vn/quan-tan-binh/thue-can-ho-chung-cu/cho-thue-c-c-ruby-garden-can-87m2-2p-ngu-noi-that-10tr-th-id22743023,mogi.vn,2,10000000,87,2026-06-19,,22743023,,
"Cho thuê căn 68m2 có 2p ngủ, NTCB ở C/c Phan Xích Long giá 8tr5",8 triệu 500 nghìn,68 m2,"Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Căn hộ,thue,https://mogi.vn/quan-phu-nhuan/thue-can-ho-chung-cu/cho-thue-can-68m2-co-2p-ngu-ntcb-o-c-c-phan-xich-long-gia-8tr5-id22743075,mogi.vn,2,8000000,68,2026-06-19,,22743075,,
"Cho thuê Scenic Valley, PMH, Q7 nhà mới đẹp full nội thất cao cấp giá",23 triệu,71 m2,"Quận 7, TPHCM",Quận 7,Căn hộ,thue,https://mogi.vn/quan-7/thue-can-ho-chung-cu/cho-thue-scenic-valley-pmh-q7-nha-moi-dep-full-noi-that-cao-cap-gia-id22743077,mogi.vn,2,23000000,71,2026-06-19,,22743077,,
"Chung cư Moscow- căn 1p ngủ, NT, 6,5tr/th",6 triệu 500 nghìn,51 m2,"Quận 12, TPHCM",Quận 12,Căn hộ,thue,https://mogi.vn/quan-12/thue-can-ho-chung-cu/chung-cu-moscow-can-1p-ngu-nt-6-5tr-th-id22743091,mogi.vn,1,6000000,51,2026-06-19,,22743091,,
"Cho thuê căn hộ chung cư H3 – Quận 4; 2PN, 2wc: 12tr/th",12 triệu,72 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-can-ho-chung-cu-h3-qua-n-4-2pn-2wc-12tr-th-id22729182,mogi.vn,2,12000000,72,2026-06-19,,22729182,,
CHO THUÊ: CĂN HỘ STUDIO B11.02 Saigon Royal Residence,13 triệu,30 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-can-ho-studio-b11-02-saigon-royal-residence-id22693713,mogi.vn,1,13000000,30,2026-06-19,,22693713,,
"Chính chủ cho thuê căn hộ A1.10 The Gold View 80m2 – 2PN, 2WC",17 triệu,80 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/chinh-chu-cho-thue-can-ho-a1-10-the-gold-view-80m2-2pn-2wc-id22692148,mogi.vn,2,17000000,80,2026-06-19,,22692148,,
"Chung cư Hope Garden, Phan Huy Ích, TB: 3p ngủ, Full NT, 11triệu",11 triệu,85 m2,"Quận Tân Bình, TPHCM",Quận Tân Bình,Căn hộ,thue,https://mogi.vn/quan-tan-binh/thue-can-ho-chung-cu/chung-cu-hope-garden-phan-huy-ich-tb-3p-ngu-full-nt-11trieu-id22742962,mogi.vn,3,11000000,85,2026-06-19,,22742962,,
"Chung cư Mỹ Vinh, Nguyễn Thị Minh Khai, Q3: 15tr, 2p ngủ, NTCB, 85m2",15 triệu,85 m2,"Quận 3, TPHCM",Quận 3,Căn hộ,thue,https://mogi.vn/quan-3/thue-can-ho-chung-cu/chung-cu-my-vinh-nguyen-thi-minh-khai-q3-15tr-2p-ngu-ntcb-85m2-id22742931,mogi.vn,2,15000000,85,2026-06-19,,22742931,,
