tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
"Bán tòa nhà đường 3 tháng 2 -Sư Vạn Hạnh ngay Vạn Hạnh Mail 10.5x22m,",55 tỷ,230 m2,"Đường 3 Tháng 2, Phường 12, Quận 10, TPHCM",Quận 10,Nhà phố,ban,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-toa-nha-duong-3-thang-2-su-van-hanh-ngay-van-hanh-mail-10-5x22m-id22557048,mogi.vn,5,55000000000,230,20607,Giấy tờ hợp lệ,22557048,10.773972035,106.672698975
"Bán tòa nhà góc 2mt Phạm Văn Hai, H+7L+TM, 18x20m, giá 65 tỷ",65 tỷ,300 m2,"Phạm văn hai, Phường 1, Quận Tân Bình, TPHCM",Quận Tân Bình,Nhà phố,ban,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-toa-nha-goc-2mt-pham-van-hai-h-7l-tm-18x20m-gia-65-ty-id22555010,mogi.vn,8,65000000000,300,20607,Giấy tờ hợp lệ,22555010,10.795692445,106.66694641499998
"Bán nhà MT Võ Văn Tần, Quận 3, 5.5x18m, 6 lầu, 55 tỷ",55 tỷ,100 m2,"Võ Văn Tần, Phường 5, Quận 3, TPHCM",Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-mt-vo-van-tan-quan-3-5-5x18m-6-lau-55-ty-id22555005,mogi.vn,6,55000000000,100,20607,Giấy tờ hợp lệ,22555005,10.7716012,106.68577576000008
"Bán nhà hẻm 55 Lê Thị Hồng Gấm thông 150 Nguyễn Thái Bình, Quận1, 4x22",35 tỷ,88 m2,"Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-hem-55-le-thi-hong-gam-thong-150-nguyen-thai-binh-quan1-4x22-id22686213,mogi.vn,8,35000000000,88,20607,Giấy tờ hợp lệ,22686213,10.7693846,106.70061379999991
"Bán nhà Mt Lý Tự Trọng ngay Thủ Khoa Huân, Bến Thành, Quận 1, 4.3x25m",85 tỷ,106 m2,"Lý Tự Trọng, Phường Bến Thành, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mt-ly-tu-trong-ngay-thu-khoa-huan-ben-thanh-quan-1-4-3x25m-id22674570,mogi.vn,3,85000000000,106,20607,Giấy tờ hợp lệ,22674570,10.827997518904857,106.63719884765624
"Bán nhà Bệt thự ngay Nguyễn Văn Trỗi, P11, Phú Nhuận, 9x20m, 3 tầng 35",35 tỷ,176 m2,"Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Nhà phố,ban,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-nha-bet-thu-ngay-nguyen-van-troi-p11-phu-nhuan-9x20m-3-tang-35-id22629205,mogi.vn,6,35000000000,176,20607,Giấy tờ hợp lệ,22629205,10.793182845,106.67456818000004
"Bán nhà đương Nguyễn Trãi - Tôn Thất Tùng, Bùi Thị Xuân, Bến Thành, q1",29 tỷ,83 m2,"Nguyễn Trãi, Phường Bến Thành, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-duong-nguyen-trai-ton-that-tung-bui-thi-xuan-ben-thanh-q1-id22623603,mogi.vn,5,29000000000,83,20607,Giấy tờ hợp lệ,22623603,10.827997518904857,106.63719884765624
"Bán nhà mặt tiền Sông Đà ngay Trường Sơn, Tân Bình, 12.9x20, giá 50 tỷ",50 tỷ,250 m2,"Sông Đà, Phường 2, Quận Tân Bình, TPHCM",Quận Tân Bình,Nhà phố,ban,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-mat-tien-song-da-ngay-truong-son-tan-binh-12-9x20-gia-50-ty-id22620148,mogi.vn,3,50000000000,250,20607,Giấy tờ hợp lệ,22620148,10.807053565,106.667713165
"Bán nhà Mt gần Thạch Thị Thanh, Quận 1, 4.5x16m, H+5L, giá 32.9 tỷ",32 tỷ 900 triệu,66 m2,"Thạch Thị Thanh, Phường Tân Định, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mt-gan-thach-thi-thanh-quan-1-4-5x16m-h-5l-gia-32-9-ty-id22619615,mogi.vn,10,32900000000,66,20607,Giấy tờ hợp lệ,22619615,10.79138,106.68898289999991
"Bán nhà MT Bàu Cát Đôi Nguyễn Hồng Đào, Tân Bình, 8x18m, 4 lầu",60 tỷ,144 m2,"Bàu Cát Đôi, Phường 14, Quận Tân Bình, TPHCM",Quận Tân Bình,Nhà phố,ban,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-mt-bau-cat-doi-nguyen-hong-dao-tan-binh-8x18m-4-lau-id22619601,mogi.vn,4,60000000000,144,20607,Sổ hồng,22619601,10.793849465,106.64130401500006
