tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
Quỹ đất lớn mặt tiền Thới An 2039m2 Quận 12 giá chỉ 120 tỉ,120 Tỷ,2039 m2,"Đường Thới An - Phường Thới An, Quận 12, TP Hồ Chí Minh",Quận 12,Đất nền,ban,https://homedy.com/ban-dat-quan-12-tp-ho-chi-minh/quy-lon-mat-tien-thoi-an-2039m2-gia-120-ti-es3209241,homedy.com,0,120000000000,2039,2026-06-05,Sổ hồng,3209241,10.8677261,106.6395311
"Bán nhà Trần Hữu Trang Phú Nhuận 1,8 tỷ có hẻm xe tải, sổ hoàn công đủ, không quy hoạch, lộ giới","1,8 Tỷ",12 m2,"Đường Trần Hữu Trang - Phường 11, Quận Phú Nhuận, TP Hồ Chí Minh",Quận Phú Nhuận,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-phu-nhuan-tp-ho-chi-minh/tran-huu-trang-18-ty-co-hem-xe-tai-so-hoan-cong-du-khong-quy-hoach-lo-gioi-es3201112,homedy.com,0,1800000000,12,2026-05-24,Sổ hồng,3201112,10.8010061,106.6797643
"Bán đất MT Phan Văn Đối, SHR, giá 14,8 tỷ. Hóc Môn","14,8 Tỷ",300 m2,"Đường Phan Văn Đối - Xã Bà Điểm, Huyện Hóc Môn, TP Hồ Chí Minh",Huyện Hóc Môn,Đất nền,ban,https://homedy.com/ban-dat-huyen-hoc-mon-tp-ho-chi-minh/mt-phan-van-doi-shr-gia-148-ty-es3202721,homedy.com,0,14800000000,300,2026-06-05,Sổ hồng,3202721,10.865465500000001,106.6010124
Căn Hộ Nguyễn Thượng Hiền Gò Vấp – SỔ SẴN / 55m² / 2PN / Giá 2tỷ200,"2,2 Tỷ",55 m2,"Quận Gò Vấp - , TP Hồ Chí Minh",Quận Gò Vấp,Căn hộ,ban,https://homedy.com/ban-can-ho-quan-go-vap-tp-ho-chi-minh/nguyen-thuong-hien-so-san-55m-2pn-gia-2ty200-es3209209,homedy.com,2,2200000000,55,2026-06-05,Sổ hồng,3209209,10.8353538,106.6740337
"P26, BT - DT 44m2 x 3T BTCT. Gấp bán giảm chỉ còn 7,4 tỷ tl","7,4 Tỷ",44 m2,"Đường Quốc Lộ 13 - Phường 26, Quận Bình Thạnh, TP Hồ Chí Minh",Quận Bình Thạnh,Bất động sản khác,ban,https://homedy.com/ban-nha-rieng-quan-binh-thanh-tp-ho-chi-minh/p26-bt-dt-44m2-x-3t-btct-gap-giam-con-74-ty-tl-es3206693,homedy.com,3,7400000000,44,2026-06-02,Sổ hồng,3206693,10.7883675,106.6605145
"Căn hộ Grand Marina Saigon, 3PN 2wc, Diện tích lớn 121m2, Căn góc, View trực diện sông, Shld",64 Tỷ,121 m2,"Phường Bến Nghé, Quận 1, TP Hồ Chí Minh",Quận 1,Căn hộ,ban,https://homedy.com/ban-can-ho-grand-marina-saigon/3pn-2wc-dien-tich-lon-121m2-goc-view-truc-song-shld-es3209204,homedy.com,3,64000000000,121,2026-06-05,Sổ hồng,3209204,10.7743896,106.70628
"Bán nhà mới 100%, vào ở liền, 2pn, 2 toilet, Quận Bình Tân","1,83 Tỷ",30 m2,"Đường Hồ Văn Long - Phường Tân Tạo, Quận Bình Tân, TP Hồ Chí Minh",Quận Bình Tân,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-binh-tan-tp-ho-chi-minh/moi-100-vao-o-lien-2pn-2-toilet-es3197192,homedy.com,2,1830000000,30,2026-06-05,Sổ hồng,3197192,10.7510379,106.5918016
"Đón đầu làn sóng phát triển, sở hữu đất nền trung tâm Củ Chi ngay hôm nay","1,3 Tỷ",100 m2,"Đường Trung Lập - Xã Thái Mỹ, Huyện Củ Chi, TP Hồ Chí Minh",Huyện Củ Chi,Đất nền,ban,https://homedy.com/ban-dat-huyen-cu-chi-tp-ho-chi-minh/don-dau-lan-song-phat-trien-so-huu-nen-trung-tam-ngay-hom-nay-es3209185,homedy.com,0,1300000000,100,2026-06-05,Sổ hồng,3209185,11.0967072,106.5097461
Phổ Quang - View sân bay - 50m2 giá 2 tỷ - SHR - Ở liền - có vay bank - giá cho thuê 12tr/th,2 Tỷ,50 m2,"Đường Phổ Quang - Phường 2, Quận Tân Bình, TP Hồ Chí Minh",Quận Tân Bình,Bất động sản khác,thue,https://homedy.com/ban-can-ho-quan-tan-binh-tp-ho-chi-minh/pho-quang-view-san-bay-50m2-gia-2-ty-shr-o-lien-co-vay-bank-cho-thue-12tr-th-es3209191,homedy.com,0,2000000000,50,2026-06-05,Sổ hồng,3209191,10.8125589,106.6674006
"Bán đất THỔ CƯ, 62m2, Tỉnh Lộ 10, chợ Bà hom cũ, giá 2,550 tỷ","2,55 Tỷ",62 m2,"Đường Hồ Văn Long - Phường Tân Tạo, Quận Bình Tân, TP Hồ Chí Minh",Quận Bình Tân,Đất nền,ban,https://homedy.com/ban-dat-quan-binh-tan-tp-ho-chi-minh/tho-cu-62m2-tinh-lo-10-cho-ba-hom-gia-2550-ty-es3204857,homedy.com,0,2550000000,62,2026-06-05,Sổ hồng,3204857,10.7510379,106.5918016
"Bán nhà đường số 6, gần trường Hoàng Văn Thụ, 4x10m, giá 1,680 tỷ, quận Bình Tân","1,68 Tỷ",40 m2,"Đường Số 6 - Phường Bình Hưng Hòa B, Quận Bình Tân, TP Hồ Chí Minh",Quận Bình Tân,Nhà phố,ban,https://homedy.com/ban-nha-rieng-quan-binh-tan-tp-ho-chi-minh/duong-so-6-gan-truong-hoang-van-thu-4x10m-gia-1680-ty-es3205145,homedy.com,2,1680000000,40,2026-05-23,Sổ hồng,3205145,10.7703543,106.5995759
