transaction_type,source,district_name,category_name,listings,median_price,median_area,median_price_per_m2
Cho thuê,mogi,Quận Bình Tân,Bất động sản khác,51,45000000,500,90625
Bán,mogi,Quận 1,Căn hộ,50,43000000000,139,273684210.5263158
Cho thuê,mogi,Thành phố Thủ Đức,Bất động sản khác,50,29000000,116,140000
Bán,alonhadat,Quận Gò Vấp,Nhà ở,48,7375000000,63,111240196.07843137
Bán,chotot,Quận 3,Căn hộ/Chung cư,48,5700000000,70.5,72222222.22222222
Cho thuê,mogi,Quận Phú Nhuận,Biệt thự,46,45000000,152.5,283482.14285714284
Cho thuê,mogi,Quận Tân Bình,Biệt thự,46,45000000,200,250000
Cho thuê,mogi,Quận 4,Phòng/Cho thuê,45,50000000,110,333333.3333333333
Cho thuê,mogi,Quận 6,Phòng/Cho thuê,45,12000000,75,157500
Bán,alonhadat,Quận Phú Nhuận,Nhà ở,44,22250000000,81,233854166.6666667
Cho thuê,mogi,Quận 11,Phòng/Cho thuê,44,10000000,45,178571.42857142858
Cho thuê,mogi,Quận 4,Căn hộ,44,15000000,75,212500
Bán,alonhadat,Quận 3,Nhà ở,43,37000000000,112,336842105.2631579
Bán,alonhadat,Quận Bình Tân,Nhà ở,43,7350000000,80,100000000
Bán,chotot,Quận Tân Phú,Đất,42,7500000000,81,98000000
Bán,mogi,Quận 6,Nhà phố,42,11500000000,72,168750000
Cho thuê,mogi,Quận Tân Phú,Bất động sản khác,42,6950000,50.5,120810.81081081083
Cho thuê,mogi,Quận 4,Nhà phố,41,10000000,48,300000
Bán,alonhadat,Quận 1,Đất,40,79000000000,157.5,639191595.4415954
Bán,homedy,Thành phố Thủ Đức,Nhà phố,40,8900000000,83.85,117458291.83266932
Cho thuê,mogi,Quận 1,"Văn phòng, Mặt bằng kinh doanh",40,100000000,144,600000
Cho thuê,mogi,Quận Bình Tân,Căn hộ,40,6450000,54.5,130000
Bán,mogi,Quận Bình Thạnh,Căn hộ,39,2250000000,74,42000000
Cho thuê,mogi,Quận 3,"Văn phòng, Mặt bằng kinh doanh",38,65000000,165,338666.6666666666
Bán,chotot,Quận Tân Bình,Đất,36,11100000000,96,125910200.80906738
Bán,alonhadat,Quận Tân Bình,Đất,35,26000000000,111,225844155.84415585
Bán,mogi,Quận 12,Đất nền,35,9000000000,115,65000000
